,,Torrent Pharmaceuticals Ltd.,,,,Nifty 50,,
DATE,,PREV. CLOSE,CLOSE,Daily Return,,OPEN,CLOSE,Daily Return %
17-08-2023,,1986.3,1983.25,-0.15355183,,19450.55,19365.25,-0.43854801
16-08-2023,,1971.9,1986.3,0.730260155,,19369,19465,0.495637359
14-08-2023,,1995.25,1971.9,-1.170279414,,19383.95,19434.55,0.261040706
11-08-2023,,2030.45,1995.25,-1.733605851,,19554.25,19428.3,-0.644105501
10-08-2023,,2073.85,2030.45,-2.092726089,,19605.55,19543.1,-0.318532252
09-08-2023,,2040.35,2073.85,1.641875168,,19578.8,19632.55,0.274531636
08-08-2023,,2051.4,2040.35,-0.538656527,,19627.2,19570.85,-0.287101573
07-08-2023,,2062.15,2051.4,-0.521300584,,19576.85,19597.3,0.104460115
04-08-2023,,1995.8,2062.15,3.324481411,,19462.8,19517,0.278479972
03-08-2023,,1965.8,1995.8,1.526096246,,19463.75,19381.65,-0.421809775
02-08-2023,,1983.5,1965.8,-0.892361986,,19655.4,19526.55,-0.655545041
